problem_id,category,title,input_size,go_median_ns,v_median_ns,go_speedup_over_v,faster,checksum_match
1,Array,704 Binary Search,512,760.000000,2512.500000,3.305921,go,true
1,Array,704 Binary Search,2048,2022.000000,8118.000000,4.014837,go,true
1,Array,704 Binary Search,8192,6459.000000,30573.000000,4.733395,go,true
2,Array,27 Remove Element,512,1661.500000,2874.500000,1.730063,go,true
2,Array,27 Remove Element,2048,6522.500000,13775.000000,2.111920,go,true
2,Array,27 Remove Element,8192,26110.500000,48690.000000,1.864767,go,true
3,Array,977 Squares of Sorted Array,512,6421.500000,21814.000000,3.397026,go,true
3,Array,977 Squares of Sorted Array,2048,28304.000000,102992.500000,3.638797,go,true
3,Array,977 Squares of Sorted Array,8192,348240.000000,708849.500000,2.035520,go,true
4,Array,209 Minimum Size Subarray Sum,512,1386.000000,2248.500000,1.622294,go,true
4,Array,209 Minimum Size Subarray Sum,2048,5502.000000,9382.500000,1.705289,go,true
4,Array,209 Minimum Size Subarray Sum,8192,21613.000000,37904.500000,1.753782,go,true
5,Array/Matrix,59 Spiral Matrix II,512,970.000000,2410.500000,2.485052,go,true
5,Array/Matrix,59 Spiral Matrix II,2048,3882.000000,9265.500000,2.386785,go,true
5,Array/Matrix,59 Spiral Matrix II,8192,14954.500000,41763.500000,2.792705,go,true
6,Array,53 Maximum Subarray,512,1361.500000,2433.500000,1.787367,go,true
6,Array,53 Maximum Subarray,2048,5382.000000,11563.000000,2.148458,go,true
6,Array,53 Maximum Subarray,8192,20609.500000,42305.500000,2.052718,go,true
7,Array,56 Merge Intervals,512,35486.000000,23849.500000,0.672082,v,true
7,Array,56 Merge Intervals,2048,208893.000000,116106.000000,0.555816,v,true
7,Array,56 Merge Intervals,8192,905383.000000,470874.500000,0.520083,v,true
8,Array,238 Product Except Self,512,5000.500000,6916.500000,1.383162,go,true
8,Array,238 Product Except Self,2048,19826.500000,28845.500000,1.454896,go,true
8,Array,238 Product Except Self,8192,81115.500000,106359.500000,1.311211,go,true
9,Hash,1 Two Sum,512,7017.000000,12514.000000,1.783383,go,true
9,Hash,1 Two Sum,2048,10114.000000,19148.500000,1.893267,go,true
9,Hash,1 Two Sum,8192,21447.000000,36814.000000,1.716510,go,true
10,Hash,242 Valid Anagram,512,1254.500000,5592.000000,4.457553,go,true
10,Hash,242 Valid Anagram,2048,4781.500000,17707.500000,3.703336,go,true
10,Hash,242 Valid Anagram,8192,19203.500000,73821.000000,3.844143,go,true
11,Hash,49 Group Anagrams,512,111300.500000,662021.500000,5.948055,go,true
11,Hash,49 Group Anagrams,2048,429782.500000,3231833.000000,7.519694,go,true
11,Hash,49 Group Anagrams,8192,1707949.500000,11275966.500000,6.602049,go,true
12,Hash,454 4Sum II,512,94605.000000,175855.000000,1.858834,go,true
12,Hash,454 4Sum II,2048,1879266.000000,3217433.000000,1.712069,go,true
12,Hash,454 4Sum II,8192,3445383.000000,5304066.500000,1.539471,go,true
13,Hash/TwoPointer,15 3Sum,512,7664.000000,10622.000000,1.385960,go,true
13,Hash/TwoPointer,15 3Sum,2048,201592.000000,251014.000000,1.245159,go,true
13,Hash/TwoPointer,15 3Sum,8192,854900.000000,886541.500000,1.037012,go,true
14,String,3 Longest Substring,512,1116.000000,3133.500000,2.807796,go,true
14,String,3 Longest Substring,2048,4195.000000,11648.500000,2.776758,go,true
14,String,3 Longest Substring,8192,16533.000000,45267.000000,2.737979,go,true
15,String,76 Minimum Window,512,1468.000000,2054.000000,1.399183,go,true
15,String,76 Minimum Window,2048,5661.000000,8481.000000,1.498145,go,true
15,String,76 Minimum Window,8192,22507.500000,26988.500000,1.199089,go,true
16,String,438 Find Anagrams,512,3184.000000,1990.000000,0.625000,v,true
16,String,438 Find Anagrams,2048,12085.000000,6968.500000,0.576624,v,true
16,String,438 Find Anagrams,8192,48662.500000,30536.000000,0.627506,v,true
17,LinkedList,707 Design Linked List,512,141623.500000,234812.000000,1.658002,go,true
17,LinkedList,707 Design Linked List,2048,2291650.000000,3803616.500000,1.659772,go,true
17,LinkedList,707 Design Linked List,8192,3076299.500000,5270699.500000,1.713325,go,true
18,LinkedList,206 Reverse Linked List,512,1973.000000,6862.500000,3.478206,go,true
18,LinkedList,206 Reverse Linked List,2048,7224.500000,28616.500000,3.961035,go,true
18,LinkedList,206 Reverse Linked List,8192,28421.000000,112343.500000,3.952834,go,true
19,LinkedList,92 Reverse Linked List II,512,2476.500000,12964.500000,5.235009,go,true
19,LinkedList,92 Reverse Linked List II,2048,9730.500000,38193.500000,3.925132,go,true
19,LinkedList,92 Reverse Linked List II,8192,35214.000000,139617.500000,3.964829,go,true
20,LinkedList,24 Swap Nodes in Pairs,512,2529.000000,9591.000000,3.792408,go,true
20,LinkedList,24 Swap Nodes in Pairs,2048,10031.500000,37438.500000,3.732094,go,true
20,LinkedList,24 Swap Nodes in Pairs,8192,37029.000000,139833.000000,3.776310,go,true
21,LinkedList,19 Remove Nth From End,512,2482.500000,8185.500000,3.297281,go,true
21,LinkedList,19 Remove Nth From End,2048,10327.000000,31669.000000,3.066621,go,true
21,LinkedList,19 Remove Nth From End,8192,36584.000000,115643.000000,3.161027,go,true
22,LinkedList,160 Intersection Linked List,512,194.000000,152.000000,0.783505,v,true
22,LinkedList,160 Intersection Linked List,2048,765.000000,582.500000,0.761438,v,true
22,LinkedList,160 Intersection Linked List,8192,3043.500000,2277.500000,0.748316,v,true
23,LinkedList,142 Linked List Cycle II,512,1356.500000,3656.000000,2.695171,go,true
23,LinkedList,142 Linked List Cycle II,2048,5256.500000,15845.500000,3.014458,go,true
23,LinkedList,142 Linked List Cycle II,8192,20955.000000,60312.000000,2.878168,go,true
24,Stack,20 Valid Parentheses,512,9615.000000,8197.500000,0.852574,v,true
24,Stack,20 Valid Parentheses,2048,40849.500000,32576.500000,0.797476,v,true
24,Stack,20 Valid Parentheses,8192,166941.500000,147493.000000,0.883501,v,true
25,Stack/Queue,232 Queue Using Stacks,512,2008.000000,7516.000000,3.743028,go,true
25,Stack/Queue,232 Queue Using Stacks,2048,8065.000000,26558.500000,3.293056,go,true
25,Stack/Queue,232 Queue Using Stacks,8192,34103.000000,130688.000000,3.832156,go,true
26,Stack/Queue,225 Stack Using Queues,512,340730.000000,366653.000000,1.076081,go,true
26,Stack/Queue,225 Stack Using Queues,2048,5436100.000000,5778066.500000,1.062907,go,true
26,Stack/Queue,225 Stack Using Queues,8192,46570300.000000,49496283.000000,1.062829,go,true
27,Stack,155 Min Stack,512,2738.000000,9068.500000,3.312089,go,true
27,Stack,155 Min Stack,2048,9298.500000,36444.000000,3.919342,go,true
27,Stack,155 Min Stack,8192,36764.000000,141385.500000,3.845759,go,true
28,Stack,150 Evaluate RPN,512,203.000000,577.500000,2.844828,go,true
28,Stack,150 Evaluate RPN,2048,778.500000,2637.500000,3.387925,go,true
28,Stack,150 Evaluate RPN,8192,3166.500000,9316.000000,2.942050,go,true
29,Queue,239 Sliding Window Maximum,512,3345.000000,9111.000000,2.723767,go,true
29,Queue,239 Sliding Window Maximum,2048,12987.000000,37554.000000,2.891661,go,true
29,Queue,239 Sliding Window Maximum,8192,53576.500000,159813.000000,2.982894,go,true
30,MonotonicStack,739 Daily Temperatures,512,2715.000000,7678.000000,2.827993,go,true
30,MonotonicStack,739 Daily Temperatures,2048,10845.500000,31269.000000,2.883131,go,true
30,MonotonicStack,739 Daily Temperatures,8192,43657.500000,132163.500000,3.027281,go,true
31,MonotonicStack,84 Largest Rectangle,512,2163.500000,6786.500000,3.136815,go,true
31,MonotonicStack,84 Largest Rectangle,2048,7475.500000,28109.500000,3.760217,go,true
31,MonotonicStack,84 Largest Rectangle,8192,29457.500000,122758.000000,4.167292,go,true
32,Heap,215 Kth Largest,512,27047.000000,24528.000000,0.906866,v,true
32,Heap,215 Kth Largest,2048,151773.500000,136261.000000,0.897792,v,true
32,Heap,215 Kth Largest,8192,668705.000000,798127.000000,1.193541,go,true
33,Heap/Hash,347 Top K Frequent,512,11688.500000,10814.500000,0.925226,v,true
33,Heap/Hash,347 Top K Frequent,2048,46033.500000,36759.500000,0.798538,v,true
33,Heap/Hash,347 Top K Frequent,8192,185568.000000,149069.000000,0.803312,v,true
34,Heap,295 Median Finder,512,78000.000000,57837.000000,0.741500,v,true
34,Heap,295 Median Finder,2048,416924.500000,350296.500000,0.840192,v,true
34,Heap,295 Median Finder,8192,1730649.500000,1722083.000000,0.995050,tie,true
35,BinaryTree,102 Level Order,512,3178.500000,16128.500000,5.074249,go,true
35,BinaryTree,102 Level Order,2048,13675.000000,52510.500000,3.839890,go,true
35,BinaryTree,102 Level Order,8192,53664.000000,174804.500000,3.257389,go,true
36,BinaryTree,104 Maximum Depth,512,6.000000,8.000000,1.333333,go,true
36,BinaryTree,104 Maximum Depth,2048,6.000000,9.000000,1.500000,go,true
36,BinaryTree,104 Maximum Depth,8192,7.000000,9.000000,1.285714,go,true
37,BinaryTree,110 Balanced Binary Tree,512,1174.000000,500.000000,0.425894,v,true
37,BinaryTree,110 Balanced Binary Tree,2048,5045.500000,1362.500000,0.270043,v,true
37,BinaryTree,110 Balanced Binary Tree,8192,20192.500000,8304.500000,0.411267,v,true
38,BinaryTree,226 Invert Binary Tree,512,2357.000000,3398.000000,1.441663,go,true
38,BinaryTree,226 Invert Binary Tree,2048,9296.500000,15338.500000,1.649922,go,true
38,BinaryTree,226 Invert Binary Tree,8192,35587.000000,54880.000000,1.542136,go,true
39,BinaryTree,101 Symmetric Tree,512,1391.500000,2728.000000,1.960474,go,true
39,BinaryTree,101 Symmetric Tree,2048,6009.500000,11719.500000,1.950162,go,true
39,BinaryTree,101 Symmetric Tree,8192,26904.000000,49411.000000,1.836567,go,true
40,BinaryTree,112 Path Sum,512,908.500000,1658.000000,1.824986,go,true
40,BinaryTree,112 Path Sum,2048,3503.500000,6829.500000,1.949336,go,true
40,BinaryTree,112 Path Sum,8192,14039.500000,28555.000000,2.033904,go,true
41,BinaryTree,105 Build Tree,512,13627.500000,51192.000000,3.756522,go,true
41,BinaryTree,105 Build Tree,2048,61903.500000,159107.000000,2.570242,go,true
41,BinaryTree,105 Build Tree,8192,128897.000000,298755.000000,2.317781,go,true
42,BinaryTree,236 Lowest Common Ancestor,512,12.000000,15.000000,1.250000,go,true
42,BinaryTree,236 Lowest Common Ancestor,2048,14.000000,17.000000,1.214286,go,true
42,BinaryTree,236 Lowest Common Ancestor,8192,16.000000,20.000000,1.250000,go,true
43,BST,98 Validate BST,512,3219.000000,5551.000000,1.724449,go,true
43,BST,98 Validate BST,2048,12690.500000,21881.000000,1.724203,go,true
43,BST,98 Validate BST,8192,51949.000000,89625.000000,1.725250,go,true
44,BST,230 Kth Smallest,512,650.500000,1584.000000,2.435050,go,true
44,BST,230 Kth Smallest,2048,2590.000000,5700.500000,2.200965,go,true
44,BST,230 Kth Smallest,8192,10390.000000,21453.000000,2.064774,go,true
45,Graph,200 Number of Islands,512,2395.000000,4170.500000,1.741336,go,true
45,Graph,200 Number of Islands,2048,9957.500000,16483.500000,1.655385,go,true
45,Graph,200 Number of Islands,8192,39952.000000,62768.000000,1.571085,go,true
46,Graph,207 Course Schedule,512,12675.000000,37799.000000,2.982170,go,true
46,Graph,207 Course Schedule,2048,48626.500000,145615.000000,2.994561,go,true
46,Graph,207 Course Schedule,8192,190577.500000,652594.000000,3.424297,go,true
47,Graph,210 Course Schedule II,512,11483.500000,42141.500000,3.669744,go,true
47,Graph,210 Course Schedule II,2048,46445.500000,187298.000000,4.032640,go,true
47,Graph,210 Course Schedule II,8192,198905.000000,765594.000000,3.849044,go,true
48,UnionFind,684 Redundant Connection,512,1988.500000,8165.000000,4.106110,go,true
48,UnionFind,684 Redundant Connection,2048,8276.000000,31175.000000,3.766916,go,true
48,UnionFind,684 Redundant Connection,8192,30612.500000,131018.500000,4.279902,go,true
49,Trie,208 Implement Trie,512,179118.000000,569916.000000,3.181791,go,true
49,Trie,208 Implement Trie,2048,1720016.500000,2124699.500000,1.235279,go,true
49,Trie,208 Implement Trie,8192,6923550.000000,8207600.000000,1.185461,go,true
50,Fenwick,307 Range Sum Query Mutable,512,5880.000000,8042.000000,1.367687,go,true
50,Fenwick,307 Range Sum Query Mutable,2048,28305.000000,35726.500000,1.262197,go,true
50,Fenwick,307 Range Sum Query Mutable,8192,238363.500000,219324.500000,0.920126,v,true
