language,problem_id,category,title,core,input_size,trials,median_ns,mean_ns,min_ns,max_ns,checksum
go,1,Array,704 Binary Search,binary boundaries,512,20,760.000000,1875.550000,716.000000,21439.000000,8004
v,1,Array,704 Binary Search,binary boundaries,512,20,2512.500000,2513.450000,2046.000000,3065.000000,8004
go,1,Array,704 Binary Search,binary boundaries,2048,20,2022.000000,2027.350000,1878.000000,2338.000000,32955
v,1,Array,704 Binary Search,binary boundaries,2048,20,8118.000000,8397.350000,7552.000000,10331.000000,32955
go,1,Array,704 Binary Search,binary boundaries,8192,20,6459.000000,6477.000000,6223.000000,6831.000000,125267
v,1,Array,704 Binary Search,binary boundaries,8192,20,30573.000000,31584.150000,28928.000000,40377.000000,125267
go,2,Array,27 Remove Element,two pointers,512,20,1661.500000,1667.650000,1608.000000,1760.000000,4364351503832204893
v,2,Array,27 Remove Element,two pointers,512,20,2874.500000,2961.200000,2767.000000,3713.000000,4364351503832204893
go,2,Array,27 Remove Element,two pointers,2048,20,6522.500000,6708.600000,6316.000000,7993.000000,3789289782144572235
v,2,Array,27 Remove Element,two pointers,2048,20,13775.000000,13685.800000,11543.000000,15329.000000,3789289782144572235
go,2,Array,27 Remove Element,two pointers,8192,20,26110.500000,26525.850000,25022.000000,29684.000000,1604479377995486015
v,2,Array,27 Remove Element,two pointers,8192,20,48690.000000,49327.150000,46082.000000,55830.000000,1604479377995486015
go,3,Array,977 Squares of Sorted Array,two pointers,512,20,6421.500000,6482.450000,6173.000000,7188.000000,242299269151777471
v,3,Array,977 Squares of Sorted Array,two pointers,512,20,21814.000000,21802.950000,19970.000000,23010.000000,242299269151777471
go,3,Array,977 Squares of Sorted Array,two pointers,2048,20,28304.000000,29358.550000,26994.000000,35309.000000,1599507760919737250
v,3,Array,977 Squares of Sorted Array,two pointers,2048,20,102992.500000,103806.150000,97820.000000,114411.000000,1599507760919737250
go,3,Array,977 Squares of Sorted Array,two pointers,8192,20,348240.000000,360889.700000,329683.000000,421241.000000,772131168549518281
v,3,Array,977 Squares of Sorted Array,two pointers,8192,20,708849.500000,712567.350000,689522.000000,757544.000000,772131168549518281
go,4,Array,209 Minimum Size Subarray Sum,sliding window,512,20,1386.000000,1393.250000,1343.000000,1497.000000,184
v,4,Array,209 Minimum Size Subarray Sum,sliding window,512,20,2248.500000,2249.950000,1955.000000,2580.000000,184
go,4,Array,209 Minimum Size Subarray Sum,sliding window,2048,20,5502.000000,5547.450000,5346.000000,6104.000000,766
v,4,Array,209 Minimum Size Subarray Sum,sliding window,2048,20,9382.500000,9721.050000,8048.000000,12707.000000,766
go,4,Array,209 Minimum Size Subarray Sum,sliding window,8192,20,21613.000000,21666.650000,20593.000000,23466.000000,3048
v,4,Array,209 Minimum Size Subarray Sum,sliding window,8192,20,37904.500000,37573.150000,30813.000000,45795.000000,3048
go,5,Array/Matrix,59 Spiral Matrix II,simulation,512,20,970.000000,995.800000,947.000000,1202.000000,9181995464018558168
v,5,Array/Matrix,59 Spiral Matrix II,simulation,512,20,2410.500000,2384.250000,2049.000000,2680.000000,9181995464018558168
go,5,Array/Matrix,59 Spiral Matrix II,simulation,2048,20,3882.000000,3985.100000,3755.000000,4678.000000,3698576558787717240
v,5,Array/Matrix,59 Spiral Matrix II,simulation,2048,20,9265.500000,9434.150000,8377.000000,11058.000000,3698576558787717240
go,5,Array/Matrix,59 Spiral Matrix II,simulation,8192,20,14954.500000,15049.600000,14526.000000,15864.000000,6739382312237969123
v,5,Array/Matrix,59 Spiral Matrix II,simulation,8192,20,41763.500000,43054.950000,36515.000000,50257.000000,6739382312237969123
go,6,Array,53 Maximum Subarray,dynamic maintenance,512,20,1361.500000,1368.400000,1331.000000,1413.000000,186495
v,6,Array,53 Maximum Subarray,dynamic maintenance,512,20,2433.500000,2512.050000,2217.000000,3186.000000,186495
go,6,Array,53 Maximum Subarray,dynamic maintenance,2048,20,5382.000000,5376.600000,5085.000000,5682.000000,468516
v,6,Array,53 Maximum Subarray,dynamic maintenance,2048,20,11563.000000,11761.700000,10330.000000,12886.000000,468516
go,6,Array,53 Maximum Subarray,dynamic maintenance,8192,20,20609.500000,20768.900000,19860.000000,23584.000000,468516
v,6,Array,53 Maximum Subarray,dynamic maintenance,8192,20,42305.500000,42220.550000,36707.000000,48877.000000,468516
go,7,Array,56 Merge Intervals,sort and merge,512,20,35486.000000,35653.100000,34268.000000,37301.000000,664
v,7,Array,56 Merge Intervals,sort and merge,512,20,23849.500000,24385.900000,22096.000000,28472.000000,664
go,7,Array,56 Merge Intervals,sort and merge,2048,20,208893.000000,205133.650000,183610.000000,239995.000000,2182
v,7,Array,56 Merge Intervals,sort and merge,2048,20,116106.000000,115647.000000,96898.000000,127473.000000,2182
go,7,Array,56 Merge Intervals,sort and merge,8192,20,905383.000000,901434.650000,833850.000000,970316.000000,8319
v,7,Array,56 Merge Intervals,sort and merge,8192,20,470874.500000,472378.400000,440200.000000,515191.000000,8319
go,8,Array,238 Product Except Self,prefix suffix products,512,20,5000.500000,5098.900000,4860.000000,6241.000000,2014341921550687560
v,8,Array,238 Product Except Self,prefix suffix products,512,20,6916.500000,6989.100000,6250.000000,8001.000000,2014341921550687560
go,8,Array,238 Product Except Self,prefix suffix products,2048,20,19826.500000,19876.050000,19149.000000,20682.000000,4072078548390329818
v,8,Array,238 Product Except Self,prefix suffix products,2048,20,28845.500000,29136.800000,26219.000000,32271.000000,4072078548390329818
go,8,Array,238 Product Except Self,prefix suffix products,8192,20,81115.500000,81572.300000,76856.000000,91743.000000,3778144709012665402
v,8,Array,238 Product Except Self,prefix suffix products,8192,20,106359.500000,110682.750000,102419.000000,123690.000000,3778144709012665402
go,9,Hash,1 Two Sum,hash lookup,512,20,7017.000000,7131.300000,6807.000000,8100.000000,188
v,9,Hash,1 Two Sum,hash lookup,512,20,12514.000000,12548.150000,11823.000000,13839.000000,188
go,9,Hash,1 Two Sum,hash lookup,2048,20,10114.000000,10297.650000,9704.000000,11967.000000,188
v,9,Hash,1 Two Sum,hash lookup,2048,20,19148.500000,18592.850000,15636.000000,20682.000000,188
go,9,Hash,1 Two Sum,hash lookup,8192,20,21447.000000,21761.350000,20767.000000,25067.000000,188
v,9,Hash,1 Two Sum,hash lookup,8192,20,36814.000000,38574.800000,35208.000000,47136.000000,188
go,10,Hash,242 Valid Anagram,counting hash,512,20,1254.500000,1258.200000,1219.000000,1330.000000,1
v,10,Hash,242 Valid Anagram,counting hash,512,20,5592.000000,5420.650000,4504.000000,6317.000000,1
go,10,Hash,242 Valid Anagram,counting hash,2048,20,4781.500000,4867.500000,4673.000000,5570.000000,1
v,10,Hash,242 Valid Anagram,counting hash,2048,20,17707.500000,17860.100000,17242.000000,19325.000000,1
go,10,Hash,242 Valid Anagram,counting hash,8192,20,19203.500000,19350.050000,18692.000000,20888.000000,1
v,10,Hash,242 Valid Anagram,counting hash,8192,20,73821.000000,74111.800000,69444.000000,79720.000000,1
go,11,Hash,49 Group Anagrams,hash key design,512,20,111300.500000,112482.350000,105114.000000,123406.000000,8772
v,11,Hash,49 Group Anagrams,hash key design,512,20,662021.500000,668671.250000,622266.000000,776500.000000,8772
go,11,Hash,49 Group Anagrams,hash key design,2048,20,429782.500000,436718.450000,367566.000000,494433.000000,34884
v,11,Hash,49 Group Anagrams,hash key design,2048,20,3231833.000000,3051269.750000,2519200.000000,3754000.000000,34884
go,11,Hash,49 Group Anagrams,hash key design,8192,20,1707949.500000,1761760.600000,1615683.000000,2012133.000000,139332
v,11,Hash,49 Group Anagrams,hash key design,8192,20,11275966.500000,11636004.650000,9992133.000000,13682333.000000,139332
go,12,Hash,454 4Sum II,grouped hash,512,20,94605.000000,94806.200000,85265.000000,102190.000000,4314
v,12,Hash,454 4Sum II,grouped hash,512,20,175855.000000,178353.750000,168193.000000,210454.000000,4314
go,12,Hash,454 4Sum II,grouped hash,2048,20,1879266.000000,1921023.050000,1667600.000000,2367600.000000,171426
v,12,Hash,454 4Sum II,grouped hash,2048,20,3217433.000000,3252812.950000,3106533.000000,3643800.000000,171426
go,12,Hash,454 4Sum II,grouped hash,8192,20,3445383.000000,3475883.000000,3067000.000000,4684733.000000,598167
v,12,Hash,454 4Sum II,grouped hash,8192,20,5304066.500000,5371063.050000,5250900.000000,5763000.000000,598167
go,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,512,20,7664.000000,7673.400000,7466.000000,8221.000000,9
v,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,512,20,10622.000000,10713.750000,10228.000000,11495.000000,9
go,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,2048,20,201592.000000,206189.600000,184816.000000,253757.000000,829
v,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,2048,20,251014.000000,247629.250000,228062.000000,259223.000000,829
go,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,8192,20,854900.000000,855626.350000,740555.000000,1129133.000000,4324
v,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,8192,20,886541.500000,890102.150000,869683.000000,914933.000000,4324
go,14,String,3 Longest Substring,sliding window set,512,20,1116.000000,1131.550000,1093.000000,1296.000000,17
v,14,String,3 Longest Substring,sliding window set,512,20,3133.500000,3145.500000,2971.000000,3504.000000,17
go,14,String,3 Longest Substring,sliding window set,2048,20,4195.000000,4256.000000,4087.000000,5027.000000,18
v,14,String,3 Longest Substring,sliding window set,2048,20,11648.500000,11806.350000,10506.000000,13499.000000,18
go,14,String,3 Longest Substring,sliding window set,8192,20,16533.000000,16618.950000,16034.000000,17790.000000,19
v,14,String,3 Longest Substring,sliding window set,8192,20,45267.000000,46024.750000,43433.000000,54287.000000,19
go,15,String,76 Minimum Window,sliding window counts,512,20,1468.000000,1482.900000,1434.000000,1689.000000,4
v,15,String,76 Minimum Window,sliding window counts,512,20,2054.000000,2163.800000,1906.000000,3360.000000,4
go,15,String,76 Minimum Window,sliding window counts,2048,20,5661.000000,5726.450000,5530.000000,6213.000000,4
v,15,String,76 Minimum Window,sliding window counts,2048,20,8481.000000,8142.250000,6580.000000,10032.000000,4
go,15,String,76 Minimum Window,sliding window counts,8192,20,22507.500000,22693.050000,22074.000000,23702.000000,4
v,15,String,76 Minimum Window,sliding window counts,8192,20,26988.500000,27125.050000,26327.000000,27994.000000,4
go,16,String,438 Find Anagrams,fixed window,512,20,3184.000000,3159.600000,2980.000000,3387.000000,2562
v,16,String,438 Find Anagrams,fixed window,512,20,1990.000000,1995.700000,1887.000000,2097.000000,2562
go,16,String,438 Find Anagrams,fixed window,2048,20,12085.000000,12179.800000,11841.000000,12844.000000,8194
v,16,String,438 Find Anagrams,fixed window,2048,20,6968.500000,6993.950000,6768.000000,7195.000000,8194
go,16,String,438 Find Anagrams,fixed window,8192,20,48662.500000,48590.600000,46337.000000,50295.000000,56602
v,16,String,438 Find Anagrams,fixed window,8192,20,30536.000000,31480.500000,27645.000000,37125.000000,56602
go,17,LinkedList,707 Design Linked List,linked operations,512,20,141623.500000,140243.200000,128430.000000,154048.000000,86629
v,17,LinkedList,707 Design Linked List,linked operations,512,20,234812.000000,234540.200000,228020.000000,244204.000000,86629
go,17,LinkedList,707 Design Linked List,linked operations,2048,20,2291650.000000,2281223.050000,1868533.000000,2502700.000000,1130864
v,17,LinkedList,707 Design Linked List,linked operations,2048,20,3803616.500000,3815239.750000,3750000.000000,3914500.000000,1130864
go,17,LinkedList,707 Design Linked List,linked operations,8192,20,3076299.500000,3105196.300000,2895233.000000,3400066.000000,1535428
v,17,LinkedList,707 Design Linked List,linked operations,8192,20,5270699.500000,5268596.350000,5148033.000000,5490966.000000,1535428
go,18,LinkedList,206 Reverse Linked List,iterative reverse,512,20,1973.000000,1976.500000,1870.000000,2116.000000,40972280859660299
v,18,LinkedList,206 Reverse Linked List,iterative reverse,512,20,6862.500000,6869.500000,6071.000000,8065.000000,40972280859660299
go,18,LinkedList,206 Reverse Linked List,iterative reverse,2048,20,7224.500000,7288.900000,7129.000000,7584.000000,5288584232105168139
v,18,LinkedList,206 Reverse Linked List,iterative reverse,2048,20,28616.500000,28446.900000,25729.000000,30055.000000,5288584232105168139
go,18,LinkedList,206 Reverse Linked List,iterative reverse,8192,20,28421.000000,29805.100000,27800.000000,41031.000000,7109824480665481483
v,18,LinkedList,206 Reverse Linked List,iterative reverse,8192,20,112343.500000,107978.350000,82304.000000,121957.000000,7109824480665481483
go,19,LinkedList,92 Reverse Linked List II,local reverse,512,20,2476.500000,2537.750000,2329.000000,2982.000000,-3479935446783355515
v,19,LinkedList,92 Reverse Linked List II,local reverse,512,20,12964.500000,12915.950000,12162.000000,14032.000000,-3479935446783355515
go,19,LinkedList,92 Reverse Linked List II,local reverse,2048,20,9730.500000,9837.750000,9115.000000,10783.000000,3981192518044243077
v,19,LinkedList,92 Reverse Linked List II,local reverse,2048,20,38193.500000,39497.500000,36957.000000,49706.000000,3981192518044243077
go,19,LinkedList,92 Reverse Linked List II,local reverse,8192,20,35214.000000,35745.000000,33880.000000,45193.000000,-3194850509724757883
v,19,LinkedList,92 Reverse Linked List II,local reverse,8192,20,139617.500000,140294.100000,135287.000000,146525.000000,-3194850509724757883
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,512,20,2529.000000,2540.000000,2427.000000,2890.000000,-2631996698515867125
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,512,20,9591.000000,9857.950000,8975.000000,14393.000000,-2631996698515867125
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,2048,20,10031.500000,10159.700000,9594.000000,12375.000000,6169810488362788107
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,2048,20,37438.500000,37726.700000,36310.000000,40030.000000,6169810488362788107
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,8192,20,37029.000000,38152.250000,35472.000000,42740.000000,-5213849746134822645
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,8192,20,139833.000000,142535.650000,132230.000000,161339.000000,-5213849746134822645
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,512,20,2482.500000,2499.550000,2413.000000,2670.000000,-8420543675268011982
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,512,20,8185.500000,8504.450000,7749.000000,11038.000000,-8420543675268011982
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,2048,20,10327.000000,10638.150000,9600.000000,12710.000000,6913196907693207858
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,2048,20,31669.000000,31908.150000,30882.000000,33384.000000,6913196907693207858
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,8192,20,36584.000000,37250.900000,35499.000000,42598.000000,4159530602324907314
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,8192,20,115643.000000,119969.950000,110485.000000,143077.000000,4159530602324907314
go,22,LinkedList,160 Intersection Linked List,two pointer sync,512,20,194.000000,194.900000,192.000000,202.000000,597
v,22,LinkedList,160 Intersection Linked List,two pointer sync,512,20,152.000000,151.600000,148.000000,156.000000,597
go,22,LinkedList,160 Intersection Linked List,two pointer sync,2048,20,765.000000,765.700000,753.000000,788.000000,2389
v,22,LinkedList,160 Intersection Linked List,two pointer sync,2048,20,582.500000,581.850000,570.000000,596.000000,2389
go,22,LinkedList,160 Intersection Linked List,two pointer sync,8192,20,3043.500000,3062.800000,2979.000000,3325.000000,9557
v,22,LinkedList,160 Intersection Linked List,two pointer sync,8192,20,2277.500000,2282.200000,2237.000000,2338.000000,9557
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,512,20,1356.500000,1390.050000,1328.000000,1602.000000,170
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,512,20,3656.000000,3698.000000,3541.000000,4032.000000,170
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,2048,20,5256.500000,5395.100000,5198.000000,7068.000000,682
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,2048,20,15845.500000,16095.850000,14535.000000,19186.000000,682
go,23,LinkedList,142 Linked List Cycle II,fast slow entry,8192,20,20955.000000,21381.350000,20343.000000,23218.000000,2730
v,23,LinkedList,142 Linked List Cycle II,fast slow entry,8192,20,60312.000000,60708.100000,57817.000000,65370.000000,2730
go,24,Stack,20 Valid Parentheses,stack matching,512,20,9615.000000,9676.850000,9319.000000,10429.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,512,20,8197.500000,8592.050000,7919.000000,11071.000000,1
go,24,Stack,20 Valid Parentheses,stack matching,2048,20,40849.500000,41272.350000,38271.000000,45416.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,2048,20,32576.500000,32775.450000,31939.000000,34840.000000,1
go,24,Stack,20 Valid Parentheses,stack matching,8192,20,166941.500000,162572.250000,141205.000000,177673.000000,1
v,24,Stack,20 Valid Parentheses,stack matching,8192,20,147493.000000,147851.700000,143552.000000,158100.000000,1
go,25,Stack/Queue,232 Queue Using Stacks,two stacks,512,20,2008.000000,2024.600000,1961.000000,2192.000000,130305
v,25,Stack/Queue,232 Queue Using Stacks,two stacks,512,20,7516.000000,7928.800000,6899.000000,11350.000000,130305
go,25,Stack/Queue,232 Queue Using Stacks,two stacks,2048,20,8065.000000,8115.150000,7799.000000,8596.000000,2094081
v,25,Stack/Queue,232 Queue Using Stacks,two stacks,2048,20,26558.500000,26975.500000,25813.000000,29472.000000,2094081
